,Data,Média Positiva,Média Negativa
0,2022-10-1,2783.3333333333335,8350.0
1,2022-10-2,3578.5714285714284,10020.0
2,2022-10-3,4927.868852459016,14314.285714285714
3,2022-10-4,6680.0,13184.21052631579
4,2022-10-5,8080.645161290323,16336.95652173913
5,2022-10-6,10116.346153846154,20232.69230769231
6,2022-10-7,11788.235294117647,20330.434782608696
7,2022-10-8,13261.764705882353,21995.121951219513
8,2022-10-9,14735.29411764706,21471.428571428572
9,2022-10-10,16500.0,22962.5
10,2022-10-11,18168.13186813187,24493.333333333332
11,2022-10-12,19937.755102040817,27137.5
12,2022-10-13,22569.80198019802,28673.584905660377
13,2022-10-14,24241.935483870966,31312.5
14,2022-10-15,25582.978723404256,32497.297297297297
15,2022-10-16,27254.4,31399.078341013825
16,2022-10-17,29256.870229007633,33619.73684210526
17,2022-10-18,29239.24914675768,35255.555555555555
18,2022-10-19,31107.843137254902,36471.26436781609
19,2022-10-20,31405.97014925373,38966.666666666664
20,2022-10-21,32508.70786516854,40184.375
21,2022-10-22,28419.955156950673,41971.192052980135
22,2022-10-23,29865.22678185745,44177.6357827476
23,2022-10-24,31775.898520084567,45135.13513513513
24,2022-10-25,33921.875,46257.10227272727
25,2022-10-26,35170.2,48046.72131147541
26,2022-10-27,37205.89390962672,48683.29048843188
27,2022-10-28,39573.151750972764,51107.0351758794
28,2022-10-29,41197.54253308129,54078.163771712156
